,ACTL6B,RPS5,RAB26,APEX1,NTHL1,LIN7B,SLC17A7,FSD1,POLR2I,HES1,DLX2,ADCK1,TBX2,SLC35B1,TNFAIP6,SOX4,LAMP5,APOE,PDGFRA,DCTN3,SNX24,UTP20,CUX2,ZC3H3,RPL8,TOP2B,RAPGEFL1,FGF10,SDHA,ASCL1,EFL1,PYURF,NDUFS6,ZMAT2,HIGD2A,SLC1A2,ZNF385D,GRM1,FEZF2,AK9,SST,CELF3,NEUROD1,IWS1,NEUROD6,COL1A2,ZMAT4,C1QL3,CRABP1,TMEM145,RFX2,GPR22,UQCRFS1,HES4,ATOH8,MAT2A,CENPX,USP8,MORN4,AP1G2,NDUFA11,MRPS22,HRAS,POLD4,TMEM25,NDUFS8,EBF1,RNF4,DMAP1,ZSCAN26,MAGEF1,CYC1,IL15,RPL10A,EEA1,KCNH5,RPL7A,SOX2,CLVS1,TNNI3K,RIT2,KCNH8,SORCS2,B4GALNT4,HS3ST4,ZNF804B,PRELID2,LIN54,FOXN2,ANAPC1,NOXA1,DPY30,RBPJ,VCAN,RAB5IF,ZFYVE26,C8orf34,PTPRC,TBX3,FYB1,MITF,RHBDL1,POLR2K,MPG,MYO16,FKBP5,GAD1,SYN3,KCNIP4,RUNX2,HLA-DRB1,TOP1,SFMBT2,VIP,SH2D1B,SORCS3,COX7A2,OLFM3,FGGY,TAL1,SURF1,CDK9,FAM241B,RPRD1B,RTKN2,PTPN3,ID3,ZNF438,SDHB,APBB1IP,TLE4,MAD2L2,RORB,MOG,NKX2-2,PLXDC2,HES5,MRPS26,HMGN1,ADARB2,RCL1,DOCK8,OLIG1,OLIG2,DNAJC19,RGS12,AQP4,FILIP1L,GRIK1,TBR1,RFLNA,RNF208,ERCC2,ATP5MC3,PLPPR1,GRINA,FAM135B,ATP5F1D,LMO2,ID2,KIAA1217,RGS11,MED13,NPM2,EPHB1,PTCHD4,HSDL2,RPL3,ERBB4,PDZRN4,NFIA,METTL15,DPP10,DPF1,PVALB,CNOT2,SMYD1,LHFPL3,CFTR,NDUFAF8,EXOSC6,PDIA2,PARN,CKMT1B,SOX5,RPP21,PLCH1,CHRD,POLR2H,ABO,ZMYM4,SYNPR,EFCAB6,POR,DMAC1,RNF8,ANKRD7,NUP214,GTF2H4,ONECUT2,CORO6,SV2C,KCNN2,WDR41,GALNTL6,RPS3A,POU6F2,PINX1,DCSTAMP,NRG1,HSF4,KCNB2,RPS13,GRIK4,L3MBTL3,PHB2,THEMIS,SYT5,TIMM8B,APBA2,MEIS3,IRF9,KIAA0895L,RPS15A,NEIL1,COX5A,MAZ,LPO,CBLN2,CCDC68,TRIM28,ZNF358,RPL18A,NXPH1,LRMDA,FOXP1,SATB2,CDH4,FLT1,LMO3,CLDN5,PCDH15,SOX13,CNTN5,COL19A1,ATM,OR1L8,Blank-1,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blank-10,Blank-11,Blank-12,Blank-13,Blank-14,Blank-15,Blank-16,Blank-17,Blank-18,Blank-19,Blank-20,Blank-21,Blank-22,Blank-23,Blank-24,Blank-25,Blank-26,Blank-27,Blank-28,Blank-29,Blank-30,Blank-31,Blank-32,Blank-33,Blank-34,Blank-35,Blank-36,Blank-37,Blank-38
stGP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13199252027044375,0.017482890434426503,0.0,0.0,0.0,0.0,0.19307730794425812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06864702261978843,0.0,0.0,0.0,0.0,0.02536273795795221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015462631696952653,0.0,0.048413447245366906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016108940085423577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020149899570816192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03453850214640445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060337343224947784,0.0,0.022010497446962186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07345441131840462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20400648215519615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06895536588265651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stGP2,0.0,0.0,0.03731508758076501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12808258432419536,0.0,0.0,0.0,0.0,0.0,0.04811368611642299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11326845811927608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03323265853434535,0.0388711492889261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06961998397021806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021390752212412222,0.0,0.0,0.0,0.0,0.0,0.04654165795952651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05014944228676522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03827909639588407,0.0,0.0,0.0,0.09179509287216252,0.0,0.0,0.0,0.0,0.0,0.0,0.02586011017591757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16954485891401933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08793538124916367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stGP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061254733173504716,0.0,0.0,0.0,0.0,0.0,0.0,0.040166210747367405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05328148608650876,0.0,0.0,0.0,0.0,0.0,0.10029994686563373,0.0,0.08012710858180157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04440156889390115,0.0,0.0,0.0,0.0,0.0,0.0,0.058633654550535735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063681137791358,0.0,0.0,0.035080904034798265,0.0,0.0,0.0,0.0,0.0,0.0,0.17178081600351772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571826414018098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08750261993824635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04489618063791096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032683633512695674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08207168419385459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stGP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04673167850780763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05647280599345438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09979592899008596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693217964834826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081637846932559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04871749440531792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07729263663288938,0.0,0.06677293882107678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08195328690071609,0.0,0.0,0.0,0.0,0.0,0.051657617669820445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04524762589008059,0.0,0.0,0.08086790329408208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08806152732116736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04810266679861789,0.0,0.07057733065720967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
