w_rmse,w_log_rmse,subspace_similarity,tv_score,hellinger_score,gene_topk_hit_mean,f1_tau90,jaccard_tau90,H_corr,H_corr_spearman,sigma2_age_rmse,sigma2_age_log_rmse,tau2_spa_rmse,tau2_spa_log_rmse,sigma2_e_abs_err,sigma2_e_log_abs_err,align_cost,method,rep
0.007057505895106501,-4.953663562540273,0.8400372708939854,0.9148669283575093,0.8635131645816638,1.0,0.9307692307685831,0.8809523809523809,0.9786613223627145,0.9799569054543943,4.49468318886123,1.502895184652428,3.407180797307457,1.2258852036951176,0.03460751462088785,-3.363684434925038,4.9808389459463006e-05,stGP,0
0.035382749405071134,-3.3415308825555416,0.1904971988998695,0.5737905224955573,0.476014470231297,0.5575396825396826,0.6153846153840142,0.4559523809523809,-0.3799098779437394,-0.3763113780427008,,,,,,,0.0012519389554620614,PCA,0
0.07419323751867767,-2.601082271524469,-0.06837513860328914,0.21024282296058508,0.23426752560899033,0.13293650793650794,0.2103174603172197,0.12291666666666666,0.6443869572331845,0.6301498515270779,,,,,,,0.005504636493502921,NMF,0
0.02383457224738557,-3.7366181368935374,0.5184374542478474,0.6780365741749093,0.5852647779052816,0.7043650793650794,0.644028520498515,0.48079004329004327,-0.01269051308611871,-0.013146488795274719,,,,,,,0.0005819617861150994,SpatialPCA,0
0.022241041125380667,-3.805815997503882,0.2630332002262329,0.6861253045967,0.7031281537959295,0.75,0.7117554858928827,0.6435185185185185,0.5929560955843088,0.5856188595871228,,,,,,,0.0004901506442034848,Popari,0
0.03335100993906415,-3.400667224048617,0.1243844728114506,0.5781368873554257,0.5738195770777228,0.7857142857142857,0.6904785560517915,0.5973214285714286,0.38067389101533294,0.3748886267588631,,,,,,,0.0011277952607634317,STAMP,0
0.029147675401522632,-3.5353801154539415,0.3323336695234228,0.3943249871779615,0.37922568065430406,0.4027777777777778,0.354613095237772,0.24010989010989012,0.3841613585111206,0.3908169711060623,,,,,,,0.0008504378137260634,MEFISTO,0
0.008672530702005752,-4.747594638970308,0.8241702757352196,0.8891162501152334,0.8244407895403881,1.0,0.9356060606053855,0.8869047619047619,0.9630338741740783,0.9781304850868195,5.225192774048777,1.6534916917250773,3.991462740650133,1.3841577653865,0.030616583776042622,-3.486213463362098,7.521278877723236e-05,stGP,1
0.039846876438528016,-3.222711259790967,0.07456158808497948,0.47723320077016956,0.3612842059222123,0.5428571428571428,0.3833333333327679,0.24742063492063493,-0.10772459631132336,-0.08621102446475332,,,,,,,0.001587773561907319,PCA,1
0.06859922969948816,-2.679473973183777,0.003213488513375329,0.2733788382395168,0.2938000926472764,0.16904761904761906,0.23809523809496197,0.14166666666666666,0.5179368068063219,0.5270107087209961,,,,,,,0.004705854315363137,NMF,1
