method,rep,runtime
stGP,0,2.031228229403496
PCA,0,0.039962499402463436
NMF,0,0.6321372697129846
SpatialPCA,0,1.0033012507483363
Popari,0,1418.2069382192567
STAMP,0,84.34142217878252
MEFISTO,0,627.1021329509094
stGP,1,5.257343830540776
PCA,1,0.030985885299742222
NMF,1,0.12657537125051022
SpatialPCA,1,1.0710688205435872
Popari,1,1145.4029652364552
STAMP,1,111.85718563199043
MEFISTO,1,619.2996870586649
stGP,2,2.1706130793318152
PCA,2,0.03753367532044649
NMF,2,0.17768524959683418
SpatialPCA,2,1.0834621246904135
Popari,2,1332.5847067655995
STAMP,2,68.03243840392679
MEFISTO,2,366.0015892582014
stGP,3,2.8217231016606092
PCA,3,0.04617759957909584
NMF,3,0.18852337449789047
SpatialPCA,3,1.7849995214492083
Popari,3,1353.2436596043408
STAMP,3,80.26651991903782
MEFISTO,3,602.024924880825
stGP,4,1.7551081432029605
PCA,4,0.04855471570044756
NMF,4,0.1355494912713766
SpatialPCA,4,1.402192484587431
Popari,4,1481.2868266152218
STAMP,4,69.02356003038585
MEFISTO,4,496.04856128338724
stGP,5,6.355619671754539
PCA,5,0.03639383055269718
NMF,5,0.09741433151066303
SpatialPCA,5,1.0448101069778204
Popari,5,1191.9336761180311
STAMP,5,85.34256705548614
MEFISTO,5,654.2674379637465
stGP,6,2.1649054931476712
PCA,6,0.03445169050246477
NMF,6,0.12288088165223598
SpatialPCA,6,0.9906270336359739
Popari,6,2048.3181136474013
STAMP,6,92.5689858617261
MEFISTO,6,643.860745370388
stGP,7,4.448540353216231
PCA,7,0.03395170718431473
NMF,7,0.11706582363694906
SpatialPCA,7,1.0501520140096545
Popari,7,1303.8964366577566
STAMP,7,85.13789812102914
MEFISTO,7,602.5619356930256
stGP,8,6.986557017080486
PCA,8,0.03866612911224365
NMF,8,0.22288017254322767
SpatialPCA,8,0.98126888461411
Popari,8,1258.4304052451625
STAMP,8,65.68873415514827
MEFISTO,8,224.55632497370243
stGP,9,2.6135195000097156
PCA,9,0.034351187758147717
NMF,9,0.06971383653581142
SpatialPCA,9,1.0139636024832726
Popari,9,1578.8974703392014
STAMP,9,68.36264621000737
MEFISTO,9,654.7877032216638
stGP,10,3.4791429080069065
PCA,10,0.033666929230093956
NMF,10,0.1719716154038906
SpatialPCA,10,1.0973234865814447
Popari,10,1208.0725879166275
STAMP,10,64.22441988438368
MEFISTO,10,684.4989849729463
stGP,11,2.241798682138324
PCA,11,0.03392920270562172
NMF,11,0.16787990927696228
SpatialPCA,11,1.0508029917255044
Popari,11,904.7711222656071
STAMP,11,87.08035531174392
MEFISTO,11,321.34031917061657
stGP,12,9.170757126994431
PCA,12,0.027758099138736725
NMF,12,0.11634727381169796
SpatialPCA,12,0.9984228722751141
Popari,12,806.5147481430322
STAMP,12,70.45046713668853
MEFISTO,12,635.6847183303908
stGP,13,3.9014356769621372
PCA,13,0.03567714337259531
NMF,13,0.18096572626382113
SpatialPCA,13,1.0093746976926923
Popari,13,744.5176843628287
STAMP,13,104.15670763980597
MEFISTO,13,425.7096094908193
stGP,14,1.2893280200660229
PCA,14,0.03312578517943621
NMF,14,0.08796737901866436
SpatialPCA,14,0.9858737532049417
Popari,14,2747.68627363164
STAMP,14,67.29543756693602
MEFISTO,14,234.44642070587724
stGP,15,6.832246710546315
PCA,15,0.034378187730908394
NMF,15,0.12725730706006289
SpatialPCA,15,1.0086207035928965
Popari,15,2791.2435997007415
STAMP,15,70.12893569283187
MEFISTO,15,308.63615398015827
stGP,16,2.4737204760313034
PCA,16,0.03241802006959915
NMF,16,0.05959100928157568
