,volume,center_x,center_y,min_x,min_y,max_x,max_y,transcript_count,num_detected_genes,barcodeCount,mouse_id,slide_id,cohort,age,batch,celltype,region,subregion,bbox_area,n_genes_by_counts,total_counts,stGP_domain,clusterlabel,slingPseudotime_1,slingCurveWeight_1
3615378903710100504-97,269.79430401358854,14218.74159557375,5406.2151895523575,14215.713254353992,5403.351029929154,14221.771536687633,5409.283343059562,77,38,77.0,97,B17,aging_coronal,32.6,B,Microglia,STR,STR_LS/NDB,35.939627835577134,21,42.0,2,2,21.27843021241107,1.0
3615378903710100525-97,2309.3800534865886,14178.077595277791,5427.8150632671095,14167.44281932083,5420.757054495644,14189.154857096895,5438.4444531461,730,141,725.0,97,B17,aging_coronal,32.6,B,Microglia,STR,STR_LS/NDB,384.0294676590361,82,318.0,2,2,20.018956049920714,1.0
3615378903710100606-97,2536.313160994247,14242.30886758436,5476.992420522269,14234.571375397709,5467.412550109802,14251.09767074056,5486.405435787719,590,93,588.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,313.88203812627796,47,231.0,2,2,21.73722987607805,1.0
3615378903710100755-97,1728.565800156598,14050.207002395731,5559.579924091501,14042.169256359735,5552.597793708239,14057.58825280733,5567.57022255804,482,112,478.0,97,B17,aging_coronal,32.6,B,Microglia,STR,STR_CP/ACB,230.8598272469562,59,155.0,2,2,20.996781979564688,1.0
3615378903900100132-97,2192.933764171736,8773.609294043394,5749.057327081523,8765.449805622811,5740.829418422286,8781.535336326271,5757.199620521038,760,121,756.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,263.3233884813201,68,235.0,1,1,16.494637565874864,1.0
3615378903900100138-97,2197.9575458805407,8772.119646327255,5770.985648727953,8763.244163252877,5762.608547184103,8780.18767798813,5779.909500798507,558,101,555.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,293.13896249956593,58,234.0,1,1,16.571748953062322,1.0
3615378903910100049-97,2015.239998793552,9113.779846016529,5577.557139877944,9103.376544757357,5570.547629001863,9126.462712935603,5585.773112920225,378,95,378.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,351.49808233447766,47,75.0,2,2,22.173724004037748,1.0
3615378903910100055-97,1654.4080362117998,8967.771012454752,5582.997624264134,8960.358185827743,5574.410703140931,8975.04042629775,5590.756820063832,465,111,463.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,239.99761941287312,57,200.0,2,2,20.993909215991636,1.0
3615378903910100088-97,2410.6747434822187,9060.99927847885,5604.469455410269,9052.1910763852,5596.020947003131,9071.60606990329,5614.52744451571,541,106,537.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,359.30352924927223,55,214.0,2,2,20.74412005119411,1.0
3615378903910100187-97,1857.105418122302,9206.557392227156,5670.668643377108,9197.65689575213,5661.790395055242,9213.982661611692,5678.822593634105,575,115,566.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,278.06368607207264,67,250.0,2,2,19.668807491636247,1.0
3615378903910100389-97,3108.333892780718,9110.962578186338,5828.736546771643,9101.93578118568,5817.436766049971,9121.39248281762,5839.665761539401,845,131,843.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,432.50293281556384,74,311.0,2,2,18.975253386733364,1.0
3615378903910100513-97,2556.658014011754,9208.048326042172,5928.36143375594,9199.885797085164,5917.98367905217,9215.90384458459,5938.039130059375,700,124,694.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,321.2491668558244,67,248.0,2,2,18.63306768825761,1.0
3615378903910100517-97,1495.386770558015,9267.777976404876,5926.374231231874,9258.128050363655,5920.5183684995945,9275.720865232784,5932.573124738333,383,96,383.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,212.07709480060183,48,115.0,2,2,21.07873833609012,1.0
3615378903910100605-97,3594.4085908268617,9047.999369668409,6004.866164038161,9036.333720231254,5994.049755924471,9058.333353304788,6016.0885882197335,1029,146,1024.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,484.84622386491725,87,328.0,2,2,18.168015757328618,1.0
3615378903910100615-97,2538.9324894597257,9088.25747865708,6013.108277330969,9079.407270960124,6004.147408771761,9096.65477364108,6021.777726047168,437,110,433.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,304.0789444736721,61,177.0,2,2,18.769415521755107,1.0
3615378903920100043-97,1721.3688822985332,9341.03921966228,5573.603175688398,9334.16447568678,5564.809284427826,9347.27364835644,5581.541480802321,280,76,280.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,219.34525141589796,35,86.0,2,2,21.03693175787469,1.0
3615378903920100095-97,1936.5650561502616,9706.96910157924,5612.500582120017,9699.145206467509,5605.307720568621,9715.81849676878,5621.769084640525,431,103,427.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,274.4651019257558,51,167.0,1,1,16.302742142278127,1.0
3615378903920100115-97,1039.656818887617,9563.510694799324,5624.1608695198,9556.937328793036,5618.238434008353,9568.960086846091,5629.384963573507,384,93,384.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,134.0120280930782,47,160.0,2,2,19.413159301846246,1.0
3615378903920100152-97,2907.9829778430653,9566.52875023546,5659.350549644007,9556.216208867325,5649.694525821895,9576.168359376448,5669.228910090317,607,104,606.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,389.75297502661584,51,133.0,2,2,19.91294620603336,1.0
3615378903920100155-97,1237.797686184823,9727.199036516076,5661.431693335843,9721.34303452776,5654.008697369964,9732.355284911571,5668.238708054926,412,102,410.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,156.70444062712707,55,135.0,1,1,16.700707552936706,1.0
3615378903920100192-97,3857.768641296432,9633.988532458656,5703.386918878255,9620.208346013878,5694.102099402623,9647.89970827171,5712.86043839632,1587,172,1579.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,519.4439604296886,108,576.0,2,2,17.923148773595294,1.0
3615378903920100249-97,2103.007270907073,9736.081302675448,5745.139310184624,9727.36684180413,5736.293467459781,9744.402445737658,5753.211874069687,528,113,528.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,288.2152741927318,63,212.0,1,1,17.881728271506923,1.0
3615378903920100361-97,2482.668210750818,9755.680481622603,5833.862551704924,9745.989170869912,5826.164618029836,9766.223788330117,5842.675034989922,731,125,730.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,334.0819712958176,72,215.0,1,1,17.795813350866005,1.0
3615378903920100376-97,1612.6325073178373,9538.625237980708,5847.203990847562,9531.942759329691,5839.601261648306,9544.768318479615,5854.77852687704,425,89,424.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,194.6569129252154,52,194.0,2,2,20.070305434526645,1.0
3615378903920100538-97,2077.219248781244,9341.250342664604,5976.177477623192,9330.92001650463,5967.30436361461,9349.390492830762,5983.452986305637,736,129,732.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,298.27275311425086,74,239.0,2,2,20.376392525826095,1.0
3615378903920100547-97,1982.5286859927944,9624.372433103415,5984.155206771233,9614.746447951522,5977.160414504448,9633.535845804065,5990.742560290388,318,92,316.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,255.2003408632475,45,77.0,2,2,17.96938349131966,1.0
3615378903920100555-97,1338.0188327098735,9529.581417851356,5988.338260585399,9522.263699693149,5982.184565013747,9537.239392057169,5994.197396904031,318,87,316.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,179.90047480958478,43,97.0,2,2,18.406240554616083,1.0
3615378903930100028-97,2208.747176531926,9977.218703150009,5563.1003290586605,9967.479981470842,5555.945757513898,9987.023808922751,5569.985605731176,694,109,692.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,274.39237100948907,58,257.0,1,1,14.373532396089285,1.0
3615378903930100134-97,2465.723317245207,9891.409381569252,5629.18925475362,9881.476941878103,5620.745056978259,9900.469240444503,5638.549976951597,695,127,694.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,338.15635608450236,75,301.0,1,1,15.21352326135173,1.0
3615378903930100215-97,3162.816210022242,10064.00745958584,5680.752444375067,10053.764713751916,5670.648140219587,10074.604748654405,5690.379448253949,615,109,615.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,411.2011481078591,58,263.0,1,1,13.223797159977734,1.0
3615378903930100271-97,2798.7802914498534,9835.679846967523,5728.835297402925,9824.237058101471,5718.8995482696855,9845.105820044855,5736.987239188405,768,133,766.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,377.4677158882576,79,329.0,1,1,16.653239981985802,1.0
3615378903930100278-97,2802.744922848816,9794.2534908385,5734.9241925835,9783.230035234878,5725.247055776792,9806.422021561097,5745.71476835833,621,119,619.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,474.68691032001044,68,292.0,1,1,13.327262516360825,1.0
3615378903930100341-97,1455.775958089602,9895.504669495636,5774.90157834006,9888.637025974522,5765.55726600476,9901.596901885134,5782.419309141837,450,95,446.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,218.52998665590906,52,210.0,1,1,16.40617424904497,1.0
3615378903930100423-97,3406.7277015995205,10183.741965905576,5839.493203145102,10173.62428958637,5827.4806574669465,10193.598314390903,5849.788551476288,1223,149,1219.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,445.5784282794827,89,429.0,1,1,13.019770454517573,1.0
