,volume,center_x,center_y,min_x,min_y,max_x,max_y,transcript_count,num_detected_genes,barcodeCount,mouse_id,slide_id,cohort,age,batch,celltype,region,subregion,bbox_area,n_genes_by_counts,total_counts,stGP_domain,clusterlabel,slingPseudotime_1,slingCurveWeight_1
3615378900220100285-97,956.470734642991,10603.798914788817,381.6651498296383,10597.922195914458,377.1925081146396,10611.16990093159,387.0450854075424,282,84,282.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,130.52403763487695,44,107.0,2,2,18.6531336421768,1.0
3615378900220100290-97,1671.074549439992,10592.077918038342,391.4853475443227,10584.261828688912,384.5108609966873,10600.114029735989,399.70974998910407,601,123,597.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,240.93584399999537,64,161.0,2,2,20.614099786722292,1.0
3615378900220200026-97,350.05279000808844,10459.036360441443,399.5791656575136,10455.31338192275,396.1280677034436,10462.955593610306,402.65385789857805,236,76,235.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,49.871470099797975,38,70.0,2,2,20.53327588008797,1.0
3615378900230100262-97,752.9199740810508,10907.649810230709,298.13098441948523,10902.531318048064,291.9401623476037,10912.662982451757,303.26687121022496,198,73,196.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,114.75841299440732,39,68.0,2,2,20.764129353760573,1.0
3615378900230100309-97,2468.446917452284,10978.791567673215,326.97141242340336,10968.45599618558,319.2162064989827,10987.84280482984,335.89835908908026,575,98,573.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,323.4137000385661,54,259.0,2,2,20.805265443006014,1.0
3615378900230100317-97,2237.8440885748705,11067.981416947578,338.37502964392803,11059.261419795192,329.24022992611674,11076.685306244595,346.02134654809925,705,102,703.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,292.3922705156234,61,339.0,2,2,20.12778283067145,1.0
3615378900230100377-97,1723.495999796156,11018.919589086494,374.9911272845914,11011.93062862678,366.8377895194411,11025.90751415694,383.0100586201743,643,119,639.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,226.03795398387567,71,303.0,2,2,19.015944689025254,1.0
3615378900230100384-97,1556.88272853967,10790.752407192796,379.5934324387133,10782.944846832945,372.0309293252775,10797.63332459233,386.2377131355584,581,121,579.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,208.6760280297153,75,255.0,2,2,18.74099280362003,1.0
3615378900230100398-97,1680.4754854653197,10742.108584536732,384.7006155791565,10732.8425766626,378.9696863033961,10752.33575764373,390.799668784562,501,100,497.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,230.60398950896032,50,157.0,2,2,20.223464939380555,1.0
3615378900230100496-97,461.3844621974815,11013.36561948534,432.4218831286081,11008.115164504845,428.8350214260108,11018.933713691244,435.6952763078157,137,50,135.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,74.21800487003784,25,82.0,2,2,21.0129688049163,1.0
3615378900230200063-97,1342.7914925643945,11150.68932820585,339.74261758187475,11144.321209806509,331.42737631725595,11156.436183287302,346.7539623920683,415,89,413.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,185.68118384744562,54,220.0,2,2,20.81218843334264,1.0
3615378900240100233-97,1213.7134457296947,11255.35312362789,310.4801823132951,11247.69601313403,305.806138732741,11263.025369657522,315.29663158418754,522,104,517.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,145.48314850348228,61,212.0,2,2,20.13798447682719,1.0
3615378900240100245-97,583.88878157036,11219.179937075782,336.93045211649275,11214.863479197138,331.52807339702963,11223.218346659864,341.69595160447466,234,64,234.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,84.95127480033766,38,130.0,2,2,20.970631954369658,1.0
3615378900240100260-97,1744.0074824133856,11156.048612680725,349.841749301745,11146.417516410726,342.09374643278284,11165.84061188404,358.553984480284,611,107,609.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,319.7087751100885,64,235.0,2,2,20.72372155456199,1.0
3615378900240100281-97,1587.815132916778,11197.95284696759,361.5362899912216,11189.91333013512,354.1896156661301,11204.990159323628,369.4098283864836,588,100,584.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,229.47254739753768,63,308.0,2,2,20.76268458946544,1.0
3615378900240100314-97,1289.8651716599702,11388.218013335749,396.9342724632525,11382.31801940728,387.3274364094986,11393.419622420037,404.2869546354285,770,136,762.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,188.2778386319001,77,305.0,2,2,20.953740326439604,1.0
3615378900240100393-97,1528.9890718168854,11374.00175662978,446.1751929669677,11365.962663457009,439.9406886239672,11383.138666291408,453.7936934920789,441,86,440.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,237.93925087963882,42,145.0,2,2,21.824773953376287,1.0
3615378900240100404-97,955.6551498688956,11191.655756123684,450.7856798956887,11182.842845611178,446.0271435297609,11199.35334745556,456.6236647022944,293,83,292.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,174.95388236315543,49,143.0,2,2,20.507667383641895,1.0
3615378900240100407-97,1845.5538111863675,11325.418875871444,458.0336464064622,11317.031349255803,448.80989267157656,11334.722726801598,466.2422533817043,906,119,902.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,308.4024748373396,72,405.0,2,2,21.402285626979957,1.0
3615378900250100947-97,1151.6679512400583,11624.069986518947,422.914837746151,11616.921956062462,417.4583824571954,11631.637402915034,427.9441940544356,377,74,377.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,154.30340326526544,37,92.0,2,2,21.20475811011579,1.0
3615378900500100418-97,553.3234461010364,9240.163046462882,873.209117910754,9235.024429493797,868.4987508567375,9244.256678520018,877.3283373546293,130,47,128.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,81.5169413470985,23,41.0,2,2,22.476555905269965,1.0
3615378900500100450-97,1846.137363151146,9254.57224188334,901.5682638115052,9247.577193398629,891.8561415638092,9261.59422613114,910.2120205868732,557,112,553.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,257.2949571002903,63,243.0,2,2,19.827123440140703,1.0
3615378900510100094-97,1251.1615273349305,9697.41563222196,650.7196582869625,9690.944072977549,643.7344854393809,9704.078598185051,657.2132055379623,437,110,434.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,177.0365888996874,57,180.0,2,2,18.606611337233925,1.0
3615378900510100096-97,1057.737540471996,9707.280637335887,650.8048239647325,9702.446808725395,644.6185998225945,9713.455080586224,656.8950976895918,308,88,300.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,135.1430260187839,46,123.0,2,2,20.739490163958266,1.0
3615378900510100117-97,999.115924632601,9649.59741022561,661.28667881224,9645.20735678686,655.3085730539509,9655.137653698965,668.1866370874865,291,86,290.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,127.8829995061139,44,94.0,2,2,18.509572150936403,1.0
3615378900510100166-97,3182.100376234611,9533.372240098684,712.830950938747,9522.190610983444,702.3894392730623,9543.305811811004,722.7762263825564,850,130,847.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,430.47110404568593,76,298.0,2,2,18.89051909469942,1.0
3615378900510100189-97,677.3327288437363,9599.188425473343,723.1701455103022,9593.745018182251,718.5899428910352,9603.7357538729,728.1541584418214,163,70,163.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,95.55354965628919,33,42.0,2,2,18.69155920154198,1.0
3615378900510100212-97,2817.690392822481,9531.700207155249,738.9178991597838,9522.94732691802,729.3757186605793,9542.28334074695,749.2443152734521,486,99,486.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,384.17945886793905,44,102.0,2,2,22.591474155229793,1.0
3615378900510100422-97,2333.2197297313605,9305.990512564094,862.1978641735907,9295.027506820146,852.5933684995407,9317.5195542994,869.7684190837872,768,144,762.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,386.3020531994668,87,356.0,2,2,19.124423109218682,1.0
3615378900510100467-97,1243.2705561519217,9401.206981028125,883.8417032150753,9394.089968078362,876.9039646786383,9407.700233999403,890.3402354178022,667,131,664.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,182.8712177471225,73,226.0,2,2,18.607530454552126,1.0
3615378900510100544-97,1582.4558198228617,9313.273717565697,916.8721265828992,9305.161316754542,909.9439847516908,9322.303002767152,924.2882833046071,590,113,590.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,245.88546186522956,61,268.0,2,2,18.849105132884777,1.0
3615378900510100547-97,1556.764891804961,9712.20585127987,917.7437349094272,9703.209901221448,911.481803603056,9720.78702202831,923.4098702413628,588,123,581.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.66106829381542,67,225.0,2,2,21.57291042915915,1.0
3615378900520100142-97,1469.525627078173,10031.580354034291,565.940495810196,10025.039719933711,558.7317816548568,10038.970085908084,573.7827903005242,259,85,258.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.66605871759495,40,72.0,2,2,18.75374456011741,1.0
3615378900520100158-97,1854.420564386514,10057.669340200591,581.1668921789606,10049.232241479402,572.9521890329561,10065.284395585444,589.0718309168946,521,109,518.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,258.7549756551977,59,197.0,2,2,18.60852133517798,1.0
3615378900520100180-97,818.0698186806569,9883.34381886861,597.5435943953865,9877.49238078611,593.1074394253243,9888.937507190623,601.7097141948299,214,70,212.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,98.45412210334304,30,57.0,2,2,22.591474155229793,1.0
3615378900520100234-97,1629.447778157596,9889.601533515268,629.62001115549,9883.02107974659,622.0381026884289,9898.013930762843,637.0238354484267,317,82,314.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,224.67885864003637,46,138.0,2,2,18.77292264595826,1.0
3615378900520100337-97,1064.1743288318962,9906.19691771594,679.53319541297,9900.193719029756,673.6819482304885,9912.667641769294,685.0846338608047,465,105,462.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,142.2362195758101,53,171.0,2,2,18.526037910515445,1.0
3615378900520100525-97,1280.6209001125217,9982.710078854623,792.0478709039925,9977.900132557595,780.3323647451981,9989.113790766658,800.1015495057746,502,116,495.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,221.6848809769121,67,191.0,2,2,18.79735837203944,1.0
3615378900520100599-97,2008.127551505193,10013.151454101975,822.1243853504509,10004.28412553628,813.9732170360675,10021.367755092371,829.9168499132055,769,126,765.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,272.37511785134257,72,289.0,2,2,18.778649401877697,1.0
3615378900520100663-97,2752.8671283107574,10158.48459039208,856.7008568899153,10148.272404070123,846.0278864190614,10166.706571876382,867.4946618529615,1324,159,1321.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,395.72214060779777,98,534.0,2,2,18.35497589208623,1.0
3615378900520100674-97,260.2285966360608,9935.434430674472,854.9517763177483,9933.266434129338,850.8906525151663,9937.430529435447,859.5775040966914,85,40,85.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,36.172877895492036,22,43.0,2,2,22.14986120097778,1.0
3615378900520100688-97,1616.0890022460944,10116.11508469268,865.5443707808798,10107.961518279426,858.5587440782078,10124.48715664381,872.2694078510627,510,108,507.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,226.57747124586874,60,247.0,2,2,18.62715611180177,1.0
3615378900520100779-97,2751.0569527859016,10164.975355780523,907.9924518937704,10156.15146747778,897.8557381721148,10175.422247937706,917.6054052256042,896,155,888.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,380.59149794440606,99,454.0,1,1,18.199166998172494,1.0
3615378900530100028-97,2953.7367437010043,10278.175932208404,464.63301965401934,10266.774846183916,455.9894534999131,10288.443416060176,473.3868688294903,731,113,728.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,376.97710973525045,67,293.0,2,2,20.530514198128703,1.0
3615378900530100095-97,4194.4554736447535,10537.13443068617,504.2308159502309,10526.28875600576,491.2217157637834,10546.621557198305,518.5562159869534,1021,138,1012.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,555.7869587352686,79,433.0,2,2,18.61391333353538,1.0
3615378900530100116-97,765.2882864320641,10329.7373092637,511.6438721691106,10325.484447430168,506.2508457180939,10333.80114084085,517.2343948004692,143,62,142.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,91.34681027928404,34,56.0,2,2,19.41282346000388,1.0
3615378900530100160-97,1860.3338888273777,10388.528302694192,540.9063676959928,10380.5010067354,532.4880653717909,10397.652772211077,551.4638308273079,841,115,839.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,325.4678788144845,74,390.0,2,2,19.693551506050976,1.0
3615378900530100187-97,708.0213903992085,10402.980034712837,552.9266764165142,10397.671559878034,548.5111447729176,10408.508541307538,557.3266980492793,338,93,338.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,95.53398714673304,51,145.0,2,2,19.81164733323987,1.0
3615378900530100191-97,684.2634377390114,10637.041925607526,554.8038103739395,10632.370348972056,550.1998738920494,10641.510371501528,559.2815821025613,275,88,274.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,83.00701765017746,44,121.0,2,2,18.49647973712491,1.0
3615378900530100220-97,2324.2819924158102,10662.548256385491,573.6394676561554,10653.893112167549,564.7797162715306,10671.621906244134,582.0349961810357,423,97,419.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,305.9153042494589,51,156.0,2,2,18.735159964890794,1.0
3615378900530100240-97,1722.5829119395971,10453.392563635069,582.9135158073713,10445.290414754392,575.5860961449597,10460.591926833004,590.1062883549853,309,86,302.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,222.1808964854637,44,97.0,2,2,20.524689100983615,1.0
3615378900530100257-97,1454.2601733283163,10546.43660133894,595.1854834673313,10538.89272160684,588.3687706100884,10553.20414549299,603.2047152911185,589,101,587.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,212.32349308167957,51,197.0,2,2,18.57278388978526,1.0
3615378900530100330-97,865.1563600366054,10407.28763280707,632.3923996642299,10400.655712439437,627.5328196690928,10412.845583090291,637.0253324029063,249,76,248.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,115.71250237677717,40,94.0,2,2,19.10322044073595,1.0
3615378900530100554-97,1648.7981222528724,10469.954133146224,755.5658740399406,10462.953346557542,745.9156053851983,10477.53179437089,762.7833992897125,590,121,589.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,245.90625316327396,70,234.0,2,2,18.63351614598093,1.0
3615378900530100632-97,1961.43138277227,10337.246820697415,793.3490708344033,10328.3728759263,785.7098889409397,10345.364652857672,799.8931744947186,682,101,680.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,240.99922428376811,54,277.0,2,2,19.30431666090968,1.0
3615378900530100765-97,571.265883436849,10447.687849929453,862.9026273369628,10443.97681013387,857.8838484316063,10452.191257134804,868.1794377509376,255,75,255.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,84.57257280702304,41,107.0,2,2,20.99795074769698,1.0
3615378900530100773-97,1341.8073828830402,10456.564988842,867.6897391266655,10448.689205204204,861.5110256787821,10463.61589787876,873.5058505150765,465,103,453.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,179.04306401650817,59,201.0,2,2,20.598660909889368,1.0
3615378900530100826-97,825.1182191891301,10689.299190763684,900.4096653210836,10683.733035753758,896.5577323004424,10696.46215146598,905.8435328169064,246,69,241.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,118.20002925467962,32,110.0,2,2,18.061432671165154,1.0
3615378900530100839-97,1382.8592335293854,10681.75331102546,912.0999771581494,10674.544587954915,902.049274367829,10687.255410356818,920.0902722297212,509,120,508.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,229.3159197756241,65,224.0,1,1,18.075289567993604,1.0
3615378900540100115-97,840.4039089199409,10739.740818822564,497.2926173574688,10735.502245783173,491.14654165552514,10744.320976379988,504.5289340943008,267,84,266.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,118.0157136584155,41,108.0,2,2,20.579160299291008,1.0
3615378900540100138-97,2085.349419929794,11012.23735304495,507.29526478773374,11003.644185379966,499.98803946094114,11022.127007198342,515.8916836799984,695,125,686.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,293.9442223636763,71,295.0,2,2,20.802518624054503,1.0
3615378900540100168-97,697.3435056611751,11012.167487994277,522.0123079747588,11007.182316026256,518.1801813193306,11017.720905758631,526.6650750837742,429,94,424.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,89.41881430626569,42,76.0,2,2,20.511967865174803,1.0
3615378900540100218-97,1137.548272941025,10778.526122548732,548.1727688453219,10771.411604416498,542.9037035992768,10784.742172712313,553.8386054017618,459,92,454.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,145.76845528605,52,198.0,2,2,18.575504223774963,1.0
3615378900540100302-97,2483.269039769772,11015.58009296011,597.9037855381275,11005.326095840946,587.681965378307,11025.471867752773,607.5477339060947,616,114,612.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,400.211241613944,65,258.0,2,2,21.06059895989121,1.0
3615378900540100310-97,1954.887769468496,10789.534495273632,601.4042923837234,10781.813329826748,592.3919788722642,10796.47633351289,610.1958341584862,730,126,722.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,261.0579956894198,71,202.0,2,2,18.716623973708938,1.0
3615378900540100312-97,1223.1114237263696,10715.345657268248,601.3350558180931,10706.453999473728,594.6811675812334,10723.939127203848,605.9690945866249,286,80,284.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,197.37084549754744,37,125.0,2,2,18.975829633157968,1.0
3615378900540100354-97,872.1850039694697,10822.728619497606,619.5986442334828,10818.51390431765,612.939052142791,10827.876241249438,625.6433074548411,333,94,329.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,118.94151869887554,56,151.0,2,2,19.393464360675562,1.0
3615378900540100411-97,2462.6077920505527,10731.816902638124,647.6229474206845,10720.7880636486,640.1248025718972,10742.092704739389,655.7147331865164,682,116,673.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,332.1378763747513,61,206.0,2,2,18.60105353403771,1.0
3615378900540100464-97,1312.8155833986075,10709.374536302425,673.9977101077139,10703.406080567544,666.9579890965281,10716.867666975066,682.6955596281924,383,94,382.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,211.85266555647453,53,186.0,2,2,18.60852133517798,1.0
3615378900540100504-97,1854.32502358178,10731.4664778645,700.5231219887506,10724.604982940296,690.65431672697,10738.918956261352,710.3301133477455,582,125,578.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,281.6388279002948,77,277.0,2,2,18.38140867756516,1.0
3615378900540100520-97,1288.5987784544282,10737.549833891177,707.9524160162327,10729.256521718404,698.5476251622943,10743.765215479874,714.6744730453132,335,92,333.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,233.97949727254212,54,131.0,2,2,18.41787431406625,1.0
3615378900540100533-97,1103.600838284761,10883.687382075792,712.8305959944455,10876.586979898231,707.9937907415385,10890.966653672493,717.6907715486516,334,92,333.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,139.4394206015596,50,150.0,2,2,18.978408627511026,1.0
3615378900540100542-97,713.7666470828435,10874.422302155346,719.2842286939259,10869.450962711218,713.1932954345995,10879.076331946737,724.4052268451188,218,71,210.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,107.91897966955676,39,103.0,2,2,20.043008879736544,1.0
3615378900540100558-97,2520.146673054191,10812.528917812491,734.5241430550469,10802.651885474215,725.9139742729069,10822.712844857726,744.5045930726315,639,129,631.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,372.94564865560346,73,186.0,2,2,18.343284195219642,1.0
3615378900540100571-97,1817.5889872869157,10944.99347536771,741.533111614869,10938.407354050292,731.9695315434055,10951.340354007303,750.9438682017478,514,111,509.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,245.3950951866512,66,210.0,2,2,20.71921845665547,1.0
3615378900540100576-97,1239.6640652748013,10774.052782854493,742.0671428574972,10766.452620986638,735.7677032221985,10780.60048552239,747.6325352091657,546,121,546.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,167.86203569105737,73,246.0,2,2,18.49600936112358,1.0
3615378900540100691-97,1341.1056897602775,10932.782190979917,820.6586861141178,10926.064752376988,812.7682189453815,10941.734942677664,826.1368907777845,514,104,511.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.48963168104308,56,217.0,2,2,18.41787431406625,1.0
3615378900540100743-97,1685.4440448130665,10954.802574209174,850.8782798924358,10947.558209582789,843.6585368305404,10962.541182278974,858.7352404404608,628,101,628.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,225.89383853591485,60,323.0,2,2,19.99291858399753,1.0
3615378900540100817-97,2869.06498852436,11080.353197067088,891.1918533125244,11069.06851450548,882.9518992953117,11092.589314339457,899.3399154665416,810,137,806.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,385.45924803948327,77,234.0,2,2,18.92646745894005,1.0
3615378900540100835-97,3042.1516254138123,10969.74363903019,908.3810478457136,10959.450483462268,897.3105450618835,10980.70219006079,918.5838913469388,742,120,740.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,452.09491361877383,64,278.0,2,2,18.357451010460437,1.0
3615378900540100848-97,1182.720951445622,10780.346505870337,912.534196652514,10774.507104507134,905.8465257483172,10786.592952223196,919.1238855091418,318,98,318.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,160.46814814069393,51,133.0,2,2,18.13898647342587,1.0
3615378900540100854-97,1431.6693246401285,10801.010583863192,915.8441016521748,10794.265025633422,908.8880645139872,10808.115688521128,922.878009447366,335,80,335.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,193.77001108979798,37,98.0,2,2,18.146907735740164,1.0
3615378900550100054-97,1231.9075317073832,11571.07792265381,477.8139006129119,11564.93019503424,471.80034419399817,11577.103785574523,483.7609810614693,377,81,376.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L1/MEN,145.6038958256166,42,161.0,2,2,20.613299819909464,1.0
3615378900550100149-97,1092.0634041000171,11229.384215047625,549.2260930867941,11223.848731285709,543.0220827072309,11235.10798417225,555.1620384347439,566,115,560.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,136.68683156747696,68,265.0,2,2,19.663219725211892,1.0
3615378900550100191-97,1668.192069149827,11370.27940696795,574.0114024049864,11361.608494500526,566.2993225794701,11378.207739643707,582.1836921473495,682,135,677.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,263.6685444021169,77,242.0,2,2,20.058252329961483,1.0
3615378900550100199-97,1375.6182751481897,11204.001071727398,580.3799995245921,11196.386164078487,574.3992350125152,11211.57621758475,587.8243014057914,391,104,387.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,203.9274768390017,58,188.0,2,2,19.379664872779816,1.0
3615378900550100229-97,833.2962325581867,11513.510212354638,598.9589632696751,11507.702677713502,593.7977391857152,11518.48676721916,603.7607981532183,191,59,191.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,107.44251965570122,31,91.0,2,2,21.725268139492066,1.0
3615378900550100321-97,2762.0599693288023,11384.337537623434,662.6808278073314,11372.91459324452,653.2503709199316,11394.740034512002,670.3233706804344,582,115,580.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,372.62575353257967,63,170.0,2,2,19.584580791861104,1.0
3615378900550100323-97,2508.00321461276,11537.032182060617,669.3339429668225,11527.87116596422,658.0907075002096,11546.071320746742,680.114846664321,1038,150,1036.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,400.84274173863344,85,391.0,2,2,20.214495953357915,1.0
3615378900550100367-97,1277.1347789170595,11564.438361075698,697.9014301481468,11555.806931975156,691.0216741506647,11572.70034014028,705.4322948523654,395,94,394.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,243.44449742661803,52,152.0,2,2,20.913283473983668,1.0
3615378900550100371-97,2881.767622400633,11364.345832743184,704.3620333761529,11354.616454999788,693.0223908436352,11372.949852098996,714.842132701826,253,79,253.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,400.02999208842306,44,139.0,2,2,20.94091829543965,1.0
3615378900550100381-97,1175.3645739090875,11564.647293748869,706.2829427180724,11555.919649419891,700.6487441111753,11571.1058919213,712.22030271447,354,100,350.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,175.72849506888463,60,177.0,2,2,19.695737188861315,1.0
3615378900550100453-97,1815.239901509592,11163.598988051275,773.7085256625525,11156.057041310589,765.2513844784826,11171.208211950105,781.2093764824946,510,114,509.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,241.78225991681512,61,163.0,2,2,21.01463272481968,1.0
3615378900550100472-97,1618.5924250164526,11593.121868770842,786.3497278655376,11584.728633430685,778.3154371150825,11599.616502141966,794.053614889101,357,93,355.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,234.3079244543885,49,181.0,2,2,20.70946709021309,1.0
3615378900550100481-97,2349.4096305214784,11304.661240349044,791.0215425039751,11296.963920908987,781.3506041090383,11314.421923426467,799.8673392975217,781,126,776.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,323.2652095360544,76,309.0,2,2,20.377661674509046,1.0
3615378900550100528-97,2866.8635989061404,11215.143814220251,830.2488589466413,11208.146984125478,817.604983014977,11221.972075513731,842.4447144763152,1024,140,1020.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,343.41155751266274,77,406.0,2,2,21.475013539475324,1.0
3615378900550100537-97,996.7244727965998,11170.279465573038,830.3495456125684,11164.921249260591,822.9080166515199,11175.912139343916,835.8981626729545,227,67,225.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,142.77326708793214,33,89.0,2,2,21.047117365392186,1.0
3615378900550100545-97,1575.2963537604608,11295.949820669017,837.9659535034126,11288.442846363549,830.7821963984736,11303.43973424007,844.7599547585124,583,116,580.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,209.6228748906092,64,228.0,2,2,19.983747584717605,1.0
